,title,genres
82459,True Grit (2010),Western
8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
99112,Jack Reacher (2012),Action|Crime|Thriller
179133,Loving Vincent (2017),Animation|Crime|Drama
111622,Begin Again (2013),Comedy|Romance
115231,St. Vincent (2014),Comedy
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
107406,Snowpiercer (2013),Action|Drama|Sci-Fi
106918,"Secret Life of Walter Mitty, The (2013)",Adventure|Comedy|Drama
53123,Once (2006),Drama|Musical|Romance
76093,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX
80906,Inside Job (2010),Documentary
3910,Dancer in the Dark (2000),Drama|Musical
3993,Quills (2000),Drama|Romance
6618,Shaolin Soccer (Siu lam juk kau) (2001),Action|Comedy
96811,End of Watch (2012),Crime|Drama|Thriller
71745,Where the Wild Things Are (2009),Adventure|Children|Drama|Fantasy|IMAX
4146,"Million Dollar Hotel, The (2001)",Drama|Mystery|Romance
5269,"Piano Teacher, The (La pianiste) (2001)",Drama
95309,Seeking a Friend for the End of the World (2012),Comedy|Drama|Romance
41997,Munich (2005),Action|Crime|Drama|Thriller
127152,Going Clear: Scientology and the Prison of Belief (2015),Documentary
71282,"Food, Inc. (2008)",Documentary
72011,Up in the Air (2009),Drama|Romance
4874,K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi
48997,Perfume: The Story of a Murderer (2006),Crime|Drama|Thriller
36527,Proof (2005),Drama
5992,"Hours, The (2002)",Drama|Romance
78349,Exam (2009),Mystery|Thriller
30816,"Phantom of the Opera, The (2004)",Drama|Musical|Romance
4239,Blow (2001),Crime|Drama
111781,Mission: Impossible - Rogue Nation (2015),Action|Adventure|Thriller
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
66097,Coraline (2009),Animation|Fantasy|Thriller
82527,Barney's Version (2010),Drama
90531,Shame (2011),Drama
8638,Before Sunset (2004),Drama|Romance
158783,The Handmaiden (2016),Drama|Romance|Thriller
88163,"Crazy, Stupid, Love. (2011)",Comedy|Drama|Romance
8958,Ray (2004),Drama
46723,Babel (2006),Drama|Thriller
97938,Life of Pi (2012),Adventure|Drama|IMAX
4378,Sexy Beast (2000),Crime|Drama
88235,"Guard, The (2011)",Comedy|Crime
96821,"Perks of Being a Wallflower, The (2012)",Drama|Romance
40278,Jarhead (2005),Action|Drama|War
4975,Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller
142509,Hardcore Henry (2015),Action|Adventure|Sci-Fi
160980,Sully (2016),Drama
112175,How to Train Your Dragon 2 (2014),Action|Adventure|Animation
37729,Corpse Bride (2005),Animation|Comedy|Fantasy|Musical|Romance
160718,Piper (2016),Animation
136018,Black Mass (2015),Crime|Drama
63082,Slumdog Millionaire (2008),Crime|Drama|Romance
6188,Old School (2003),Comedy
27660,"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi
45668,"Lake House, The (2006)",Drama|Fantasy|Romance
89904,The Artist (2011),Comedy|Drama|Romance
84392,"Lincoln Lawyer, The (2011)",Crime|Drama|Thriller
55765,American Gangster (2007),Crime|Drama|Thriller
4990,Jimmy Neutron: Boy Genius (2001),Adventure|Animation|Children|Comedy
4992,Kate & Leopold (2001),Comedy|Romance
88810,"Help, The (2011)",Drama
58554,"Class, The (Klass) (2007)",Drama
89898,Generation P (2011),Comedy|Drama|Sci-Fi
176751,American Made (2017),Crime|Thriller
47610,"Illusionist, The (2006)",Drama|Fantasy|Mystery|Romance
3275,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller
6889,Brother Bear (2003),Adventure|Animation|Children
5010,Black Hawk Down (2001),Action|Drama|War
63072,"Road, The (2009)",Adventure|Drama|Thriller
106696,Frozen (2013),Adventure|Animation|Comedy|Fantasy|Musical|Romance
7352,Wilbur Wants to Kill Himself (2002),Comedy|Drama|Romance
89900,Once Upon a Time in Anatolia (Bir zamanlar Anadolu'da) (2011),Drama
113705,"Two Days, One Night (Deux jours, une nuit) (2014)",Drama
107653,"Lost Thing, The (2010)",Animation|Drama|Fantasy
162598,Deepwater Horizon (2016),Drama
64499,Che: Part One (2008),Drama|War
60408,Welcome to the Sticks (Bienvenue chez les Ch'tis) (2008),Comedy
80185,GasLand (2010),Documentary
48032,"Tiger and the Snow, The (La tigre e la neve) (2005)",Comedy|Drama|Romance|War
49856,"Page Turner, The (Tourneuse de pages, La) (2006)",Drama|Musical|Thriller
36276,Hidden (a.k.a. Cache) (Caché) (2005),Drama|Mystery|Thriller
89356,Chinese Take-Out (Chinese Take-Away) (Un cuento chino) (2011),Comedy
71450,Capitalism: A Love Story (2009),Documentary
90376,We Need to Talk About Kevin (2011),Drama|Thriller
175569,Wind River (2017),Action|Crime|Mystery|Thriller
6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy
127202,Me and Earl and the Dying Girl (2015),Drama
64614,Gran Torino (2008),Crime|Drama
87306,Super 8 (2011),Mystery|Sci-Fi|Thriller|IMAX
7842,Dune (2000),Drama|Fantasy|Sci-Fi
104879,Prisoners (2013),Drama|Mystery|Thriller
79592,"Other Guys, The (2010)",Action|Comedy
100383,Side Effects (2013),Crime|Drama|Mystery|Thriller
41716,"Matador, The (2005)",Comedy|Drama|Thriller
5377,About a Boy (2002),Comedy|Drama|Romance
53894,Sicko (2007),Documentary|Drama
8641,Anchorman: The Legend of Ron Burgundy (2004),Comedy
71033,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",Crime|Drama|Mystery|Romance|Thriller
143355,Wonder Woman (2017),Action|Adventure|Fantasy
108932,The Lego Movie (2014),Action|Adventure|Animation|Children|Comedy|Fantasy
7263,Miracle (2004),Drama
134170,Kung Fury (2015),Action|Comedy|Fantasy|Sci-Fi
105213,Don Jon (2013),Comedy|Drama|Romance
112556,Gone Girl (2014),Drama|Thriller
39183,Brokeback Mountain (2005),Drama|Romance
104374,About Time (2013),Drama|Fantasy|Romance
163645,Hacksaw Ridge (2016),Drama|War
7149,Something's Gotta Give (2003),Comedy|Drama|Romance
78574,Winter's Bone (2010),Drama|Thriller
113741,Coherence (2013),Drama|Mystery|Sci-Fi|Thriller
47099,"Pursuit of Happyness, The (2006)",Drama
107348,Anchorman 2: The Legend Continues (2013),Comedy
95088,Safety Not Guaranteed (2012),Comedy|Drama
8622,Fahrenheit 9/11 (2004),Documentary
106916,American Hustle (2013),Crime|Drama
44694,Volver (2006),Comedy|Drama
52328,Sunshine (2007),Adventure|Drama|Sci-Fi|Thriller
187595,Solo: A Star Wars Story (2018),Action|Adventure|Children|Sci-Fi
158528,The Shallows (2016),Drama|Thriller
5610,"Banger Sisters, The (2002)",Comedy|Drama
174727,Good Time (2017),Crime|Drama
6291,Lilya 4-Ever (Lilja 4-ever) (2002),Crime|Drama
6873,Intolerable Cruelty (2003),Comedy|Romance
54881,"King of Kong, The (2007)",Documentary
86898,"Tree of Life, The (2011)",Drama
93982,"Raven, The (2012)",Mystery|Thriller
104913,Rush (2013),Action|Drama
80693,It's Kind of a Funny Story (2010),Comedy|Drama
7158,House of Sand and Fog (2003),Drama
55908,"Man from Earth, The (2007)",Drama|Sci-Fi
59387,"Fall, The (2006)",Adventure|Drama|Fantasy
54997,3:10 to Yuma (2007),Action|Crime|Drama|Western
64620,Frost/Nixon (2008),Drama
49272,Casino Royale (2006),Action|Adventure|Thriller
58998,Forgetting Sarah Marshall (2008),Comedy|Romance
4963,Ocean's Eleven (2001),Crime|Thriller
4034,Traffic (2000),Crime|Drama|Thriller
8800,Code 46 (2003),Romance|Sci-Fi
69757,(500) Days of Summer (2009),Comedy|Drama|Romance
6942,Love Actually (2003),Comedy|Drama|Romance
6708,Matchstick Men (2003),Comedy|Crime|Drama
33817,My Summer of Love (2004),Drama|Romance
5387,Enough (2002),Drama|Thriller
6702,Dickie Roberts: Former Child Star (2003),Comedy
30822,In Good Company (2004),Comedy|Drama
27838,Mean Creek (2004),Drama|Thriller
27790,Millions (2004),Children|Comedy|Crime|Drama|Fantasy
5525,Mostly Martha (Bella Martha) (2001),Comedy|Drama|Romance
55286,Things We Lost in the Fire (2007),Drama|Romance
5092,Big Fat Liar (2002),Children|Comedy
168252,Logan (2017),Action|Sci-Fi
6957,Bad Santa (2003),Comedy|Crime
52606,Big Nothing (2006),Comedy|Crime|Thriller
5299,My Big Fat Greek Wedding (2002),Comedy|Romance
8665,"Bourne Supremacy, The (2004)",Action|Crime|Thriller
64622,"Reader, The (2008)",Drama|Romance
66509,Funny People (2009),Comedy|Drama
65261,Ponyo (Gake no ue no Ponyo) (2008),Adventure|Animation|Children|Fantasy
36529,Lord of War (2005),Action|Crime|Drama|Thriller|War
89492,Moneyball (2011),Drama
87192,Attack the Block (2011),Action|Comedy|Sci-Fi
97913,Wreck-It Ralph (2012),Animation|Comedy
40819,Walk the Line (2005),Drama|Musical|Romance
139385,The Revenant (2015),Adventure|Drama
5954,25th Hour (2002),Crime|Drama
86833,Bridesmaids (2011),Comedy
5025,Orange County (2002),Comedy
49651,Rocky Balboa (2006),Action|Drama
103335,Despicable Me 2 (2013),Animation|Children|Comedy|IMAX
33660,Cinderella Man (2005),Drama|Romance
55269,"Darjeeling Limited, The (2007)",Adventure|Comedy|Drama
3408,Erin Brockovich (2000),Drama
117176,The Theory of Everything (2014),Drama|Romance
5505,"Good Girl, The (2002)",Comedy|Drama
72720,"Single Man, A (2009)",Drama
129370,"SpongeBob Movie: Sponge Out of Water, The (2015)",Adventure|Animation|Children|Comedy
5225,And Your Mother Too (Y tu mamá también) (2001),Drama|Romance
5444,Lilo & Stitch (2002),Adventure|Animation|Children|Sci-Fi
5902,Adaptation (2002),Comedy|Drama|Romance
114935,Predestination (2014),Action|Mystery|Sci-Fi|Thriller
80489,"Town, The (2010)",Crime|Drama|Thriller
4770,"Glass House, The (2001)",Thriller
144606,Confessions of a Dangerous Mind (2002),Comedy|Crime|Drama|Romance|Thriller
89753,Tinker Tailor Soldier Spy (2011),Drama|Film-Noir|Thriller
73023,Crazy Heart (2009),Drama|Romance
112852,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi
122904,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
6367,Down with Love (2003),Comedy|Romance
89118,"Skin I Live In, The (La piel que habito) (2011)",Drama
145935,"Peanuts Movie, The (2015)",Adventure|Animation|Children|Comedy
90717,Tower Heist (2011),Action|Comedy|Crime
69604,Whatever Works (2009),Comedy|Romance
174055,Dunkirk (2017),Action|Drama|Thriller|War
7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Documentary|War
90746,"Adventures of Tintin, The (2011)",Action|Animation|Mystery|IMAX
5267,"Rookie, The (2002)",Drama
33880,Me and You and Everyone We Know (2005),Comedy|Drama
96728,"Master, The (2012)",Drama
97225,Hotel Transylvania (2012),Animation|Children|Comedy
55247,Into the Wild (2007),Action|Adventure|Drama
34405,Serenity (2005),Action|Adventure|Sci-Fi
72641,"Blind Side, The  (2009)",Drama
97304,Argo (2012),Drama|Thriller
5379,"Believer, The (2001)",Drama
98956,Barfi! (2012),Comedy|Drama|Romance
115713,Ex Machina (2015),Drama|Sci-Fi|Thriller
180031,The Shape of Water (2017),Adventure|Drama|Fantasy
63131,Role Models (2008),Comedy
3751,Chicken Run (2000),Animation|Children|Comedy
102407,"Great Gatsby, The (2013)",Drama
49530,Blood Diamond (2006),Action|Adventure|Crime|Drama|Thriller|War
7151,Girl with a Pearl Earring (2003),Drama|Romance
74510,"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)",Action|Crime|Drama|Mystery|Thriller
168492,Call Me by Your Name (2017),Drama|Romance
73290,Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009),Drama
5283,National Lampoon's Van Wilder (2002),Comedy
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy
85414,Source Code (2011),Action|Drama|Mystery|Sci-Fi|Thriller
64957,"Curious Case of Benjamin Button, The (2008)",Drama|Fantasy|Mystery|Romance
60753,Felon (2008),Crime|Drama
93510,21 Jump Street (2012),Action|Comedy|Crime
3510,Frequency (2000),Drama|Thriller
150548,Sherlock: The Abominable Bride (2016),Action|Crime|Drama|Mystery|Thriller
46976,Stranger than Fiction (2006),Comedy|Drama|Fantasy|Romance
56274,Margot at the Wedding (2007),Drama
119145,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime
5074,Storytelling (2001),Comedy|Drama
8529,"Terminal, The (2004)",Comedy|Drama|Romance
69951,"Imaginarium of Doctor Parnassus, The (2009)",Drama|Fantasy
8781,"Manchurian Candidate, The (2004)",Thriller
34534,Four Brothers (2005),Action|Crime|Drama
4033,Thirteen Days (2000),Drama|Thriller|War
86190,Hanna (2011),Action|Adventure|Mystery|Thriller
93805,Iron Sky (2012),Action|Comedy|Sci-Fi
108729,Enemy (2013),Mystery|Thriller
8376,Napoleon Dynamite (2004),Comedy
27821,"Interpreter, The (2005)",Drama|Thriller
98056,Amour (2012),Drama|Romance
56370,"Goodbye Bafana (Color of Freedom, The) (2007)",Drama|War
3159,Fantasia 2000 (1999),Animation|Children|Musical|IMAX
80463,"Social Network, The (2010)",Drama
7445,Man on Fire (2004),Action|Crime|Drama|Mystery|Thriller
44665,Lucky Number Slevin (2006),Crime|Drama|Mystery
4844,Bandits (2001),Comedy|Crime|Romance
6947,Master and Commander: The Far Side of the World (2003),Adventure|Drama|War
3916,Remember the Titans (2000),Drama
54503,Superbad (2007),Comedy
103306,Europa Report (2013),Sci-Fi|Thriller
98961,Zero Dark Thirty (2012),Action|Drama|Thriller
93855,God Bless America (2011),Comedy|Drama
81847,Tangled (2010),Animation|Children|Comedy|Fantasy|Musical|Romance|IMAX
59369,Taken (2008),Action|Crime|Drama|Thriller
3596,Screwed (2000),Comedy
27410,Conspiracy (2001),Drama|War
33669,"Sisterhood of the Traveling Pants, The (2005)",Adventure|Comedy|Drama
4014,Chocolat (2000),Drama|Romance
3513,Rules of Engagement (2000),Drama|Thriller
76091,Mother (Madeo) (2009),Crime|Drama|Mystery|Thriller
103141,Monsters University (2013),Adventure|Animation|Comedy
30707,Million Dollar Baby (2004),Drama
68159,State of Play (2009),Crime|Drama|Thriller
4366,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy
4092,Cherry 2000 (1987),Romance|Sci-Fi
5319,Nine Queens (Nueve reinas) (2000),Crime|Thriller
48082,"Science of Sleep, The (La science des rêves) (2006)",Comedy|Drama|Fantasy|Romance
166635,Passengers (2016),Adventure|Drama|Romance|Sci-Fi
7317,EuroTrip (2004),Adventure|Comedy
32017,"Pacifier, The (2005)",Action|Comedy
78836,Enter the Void (2009),Drama
5617,Secretary (2002),Comedy|Drama|Romance
5293,Changing Lanes (2002),Drama|Thriller
81257,In a Better World (Hævnen) (2010),Drama
6620,American Splendor (2003),Comedy|Drama
8970,Finding Neverland (2004),Drama
4056,"Pledge, The (2001)",Crime|Drama|Mystery|Thriller
137857,The Jungle Book (2016),Adventure|Drama|Fantasy
66297,Futurama: Into the Wild Green Yonder (2009),Action|Animation|Comedy|Sci-Fi
7139,In America (2002),Drama|Romance
134368,Spy (2015),Action|Comedy|Crime
138036,The Man from U.N.C.L.E. (2015),Action|Adventure|Comedy
48783,Flags of Our Fathers (2006),Drama|War
59126,Religulous (2008),Comedy|Documentary
159193,Café Society (2016),Comedy|Drama|Romance
5680,Auto Focus (2002),Crime|Drama
4022,Cast Away (2000),Drama
48738,"Last King of Scotland, The (2006)",Drama|Thriller
34528,Junebug (2005),Comedy|Drama
58299,Horton Hears a Who! (2008),Adventure|Animation|Children|Comedy
7160,Monster (2003),Crime|Drama
37384,Waiting... (2005),Comedy
5013,Gosford Park (2001),Comedy|Drama|Mystery
94070,"Best Exotic Marigold Hotel, The (2011)",Comedy|Drama
68358,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX
3483,"Road to El Dorado, The (2000)",Animation|Children
76251,Kick-Ass (2010),Action|Comedy
74416,Fish Tank (2009),Drama
6953,21 Grams (2003),Crime|Drama|Mystery|Romance|Thriller
91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX
96610,Looper (2012),Action|Crime|Sci-Fi
5110,Super Troopers (2001),Comedy|Crime|Mystery
4225,"Dish, The (2001)",Comedy
89804,"Ides of March, The (2011)",Drama
56152,Enchanted (2007),Adventure|Animation|Children|Comedy|Fantasy|Musical|Romance
33672,Lords of Dogtown (2005),Action|Comedy|Drama
48001,"Bow, The (Hwal) (2005)",Drama|Romance
7167,Japanese Story (2003),Drama
5477,Sex and Lucia (Lucía y el sexo) (2001),Drama|Romance
4898,Novocaine (2001),Comedy|Crime|Mystery|Thriller
5686,Russian Ark (Russkiy Kovcheg) (2002),Drama|Fantasy|War
6591,"Magdalene Sisters, The (2002)",Drama
117466,In the Heart of the Sea (2015),Action|Adventure|Drama
4345,"Anniversary Party, The (2001)",Drama
72294,"Christmas Carol, A (2009)",Animation|Children|Drama|Fantasy|IMAX
177651,The Florida Project (2017),Drama
161966,Elle (2016),Thriller
3534,28 Days (2000),Drama
4448,"Score, The (2001)",Action|Drama
3911,Best in Show (2000),Comedy
80917,Monsters (2010),Drama|Sci-Fi
135143,Fantastic Beasts and Where to Find Them (2016),Fantasy
177763,Murder on the Orient Express (2017),Crime|Drama|Mystery
27788,"Jacket, The (2005)",Drama|Mystery|Sci-Fi|Thriller
90866,Hugo (2011),Children|Drama|Mystery
47999,Jesus Camp (2006),Documentary|Drama
5066,"Walk to Remember, A (2002)",Drama|Romance
27706,Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy
4880,Life as a House (2001),Drama
62849,RocknRolla (2008),Action|Crime
3969,Pay It Forward (2000),Drama
34072,"March of the Penguins (Marche de l'empereur, La) (2005)",Documentary
51698,"Last Mimzy, The (2007)",Adventure|Children|Sci-Fi
4734,Jay and Silent Bob Strike Back (2001),Adventure|Comedy
4305,Angel Eyes (2001),Romance|Thriller
4815,Hearts in Atlantis (2001),Drama
63859,Bolt (2008),Action|Adventure|Animation|Children|Comedy
120466,Chappie (2015),Action|Thriller
4016,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
54796,2 Days in Paris (2007),Comedy|Drama|Romance
49286,"Holiday, The (2006)",Comedy|Romance
173941,Atomic Blonde (2017),Thriller
180297,The Disaster Artist (2017),Comedy|Drama
80219,Machete (2010),Action|Adventure|Comedy|Crime|Thriller
71057,9 (2009),Adventure|Animation|Sci-Fi
97921,Silver Linings Playbook (2012),Comedy|Drama
6385,Whale Rider (2002),Drama
8977,Alexander (2004),Action|Adventure|Drama|War
7164,Peter Pan (2003),Action|Adventure|Children|Fantasy
70599,"Time Traveler's Wife, The (2009)",Drama|Romance|Sci-Fi
5266,Panic Room (2002),Thriller
5959,Narc (2002),Crime|Drama|Thriller
3897,Almost Famous (2000),Drama
3831,Saving Grace (2000),Comedy
87234,Submarine (2010),Comedy|Drama|Romance
112138,22 Jump Street (2014),Action|Comedy|Crime
52973,Knocked Up (2007),Comedy|Drama|Romance
5955,Antwone Fisher (2002),Drama
74851,From Paris with Love (2010),Action|Crime
5903,Equilibrium (2002),Action|Sci-Fi|Thriller
97752,Cloud Atlas (2012),Drama|Sci-Fi|IMAX
5152,We Were Soldiers (2002),Action|Drama|War
91630,Mission: Impossible - Ghost Protocol (2011),Action|Adventure|Thriller|IMAX
102123,This Is the End (2013),Action|Comedy
104841,Gravity (2013),Action|Sci-Fi|IMAX
87232,X-Men: First Class (2011),Action|Adventure|Sci-Fi|Thriller|War
3615,Dinosaur (2000),Adventure|Animation|Children
85774,Senna (2010),Documentary
157699,Snowden (2016),Drama|Thriller
38600,Factotum (2005),Drama
80126,"American, The (2010)",Drama|Thriller
81229,Red (2010),Action|Comedy
97860,Killing Them Softly (2012),Crime|Drama|Thriller
6753,Secondhand Lions (2003),Children|Comedy|Drama
6218,Bend It Like Beckham (2002),Comedy|Drama|Romance
46322,Jet Li's Fearless (Huo Yuan Jia) (2006),Action|Drama
65216,Defiance (2008),Drama|Thriller|War
122918,Guardians of the Galaxy 2 (2017),Action|Adventure|Sci-Fi
6281,Phone Booth (2002),Drama|Thriller
7154,Mona Lisa Smile (2003),Drama|Romance
7265,"Dreamers, The (2003)",Drama
5009,Ali (2001),Drama
95167,Brave (2012),Action|Adventure|Animation|Children
157296,Finding Dory (2016),Adventure|Animation|Comedy
39444,"Weather Man, The (2005)",Comedy|Drama
31952,Control (Kontroll) (2003),Comedy|Crime|Drama|Mystery
3948,Meet the Parents (2000),Comedy
168612,Ghost in the Shell (2017),Action|Drama|Sci-Fi
35836,"40-Year-Old Virgin, The (2005)",Comedy|Romance
102445,Star Trek Into Darkness (2013),Action|Adventure|Sci-Fi|IMAX
59315,Iron Man (2008),Action|Adventure|Sci-Fi
122916,Thor: Ragnarok (2017),Action|Adventure|Sci-Fi
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
8373,"Stepford Wives, The (2004)",Comedy|Fantasy|Thriller
5633,Heaven (2002),Drama
95105,Madagascar 3: Europe's Most Wanted (2012),Adventure|Animation|Children|Comedy|IMAX
111362,X-Men: Days of Future Past (2014),Action|Adventure|Sci-Fi
91094,"Muppets, The (2011)",Children|Comedy|Musical
42718,District 13 (Banlieue 13) (2004),Action|Crime|Sci-Fi
5666,"Rules of Attraction, The (2002)",Comedy|Drama|Romance|Thriller
7451,Mean Girls (2004),Comedy
96079,Skyfall (2012),Action|Adventure|Thriller|IMAX
8870,"Forgotten, The (2004)",Drama|Mystery|Sci-Fi|Thriller
56607,"Kite Runner, The (2007)",Drama
4450,Bully (2001),Crime|Drama|Thriller
4023,"Family Man, The (2000)",Comedy|Drama|Romance
33794,Batman Begins (2005),Action|Crime|IMAX
4228,Heartbreakers (2001),Comedy|Crime|Romance
79357,Mr. Nobody (2009),Drama|Fantasy|Romance|Sci-Fi
5015,Monster's Ball (2001),Drama|Romance
33437,Unleashed (Danny the Dog) (2005),Action|Crime|Drama|Thriller
84152,Limitless (2011),Sci-Fi|Thriller
5956,Gangs of New York (2002),Crime|Drama
139417,Tale of Tales (2015),Fantasy
109157,"Long Way Down, A (2014)",Comedy|Drama
6959,Timeline (2003),Action|Adventure|Sci-Fi
61132,Tropic Thunder (2008),Action|Adventure|Comedy|War
5446,Rabbit-Proof Fence (2002),Adventure|Drama
27478,Ali G Indahouse (2002),Comedy
4821,Joy Ride (2001),Adventure|Thriller
92694,Perfect Sense (2011),Drama|Romance|Sci-Fi
7346,"Girl Next Door, The (2004)",Comedy|Romance
4823,Serendipity (2001),Comedy|Romance
40148,Revolver (2005),Crime|Drama|Thriller
88744,Rise of the Planet of the Apes (2011),Action|Drama|Sci-Fi|Thriller
73017,Sherlock Holmes (2009),Action|Crime|Mystery|Thriller
95761,Killer Joe (2011),Crime|Thriller
54272,"Simpsons Movie, The (2007)",Animation|Comedy
46970,Talladega Nights: The Ballad of Ricky Bobby (2006),Action|Comedy
5218,Ice Age (2002),Adventure|Animation|Children|Comedy
79091,Despicable Me (2010),Animation|Children|Comedy|Crime
8528,Dodgeball: A True Underdog Story (2004),Comedy
8949,Sideways (2004),Comedy|Drama|Romance
79185,Knight and Day (2010),Action|Comedy|Romance
5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
7380,Ella Enchanted (2004),Comedy|Fantasy|Romance
64983,Valkyrie (2008),Drama|Thriller|War
57640,Hellboy II: The Golden Army (2008),Action|Adventure|Fantasy|Sci-Fi
33162,Kingdom of Heaven (2005),Action|Drama|Romance|War
6890,Elephant (2003),Drama
33154,Enron: The Smartest Guys in the Room (2005),Documentary
60647,Transsiberian (2008),Crime|Drama|Thriller
46850,Wordplay (2006),Documentary
6867,"Station Agent, The (2003)",Comedy|Drama
89470,Contagion (2011),Sci-Fi|Thriller|IMAX
52975,Hairspray (2007),Comedy|Drama|Musical
38886,"Squid and the Whale, The (2005)",Comedy|Drama
107141,Saving Mr. Banks (2013),Comedy|Drama
48696,Little Children (2006),Drama|Romance
3827,Space Cowboys (2000),Action|Adventure|Comedy|Sci-Fi
69122,"Hangover, The (2009)",Comedy|Crime
86892,The Man from Nowhere (2010),Action|Crime|Thriller
5881,Solaris (2002),Drama|Romance|Sci-Fi
149406,Kung Fu Panda 3 (2016),Action|Adventure|Animation
95543,Ice Age 4: Continental Drift (2012),Adventure|Animation|Comedy
36517,"Constant Gardener, The (2005)",Drama|Thriller
8974,"SpongeBob SquarePants Movie, The (2004)",Adventure|Animation|Children|Comedy
8464,Super Size Me (2004),Comedy|Documentary|Drama
89864,50/50 (2011),Comedy|Drama
8807,Harold and Kumar Go to White Castle (2004),Adventure|Comedy
8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
45950,"Inconvenient Truth, An (2006)",Documentary
51091,Black Snake Moan (2006),Drama
4816,Zoolander (2001),Comedy
45730,Lady in the Water (2006),Drama|Fantasy|Mystery
33893,"Perfect Crime, The (Crimen Ferpecto) (Ferpect Crime) (2004)",Comedy|Crime|Thriller
73587,Soul Kitchen (2009),Comedy
5073,"Son's Room, The (Stanza del figlio, La) (2001)",Drama
88125,Harry Potter and the Deathly Hallows: Part 2 (2011),Action|Adventure|Drama|Fantasy|Mystery|IMAX
5942,"Hot Chick, The (2002)",Comedy
31685,Hitch (2005),Comedy|Romance
112623,Dawn of the Planet of the Apes (2014),Sci-Fi
3536,Keeping the Faith (2000),Comedy|Drama|Romance
89774,Warrior (2011),Drama
102033,Pain & Gain (2013),Action|Comedy|Crime
33166,Crash (2004),Crime|Drama
4246,Bridget Jones's Diary (2001),Comedy|Drama|Romance
34319,"Island, The (2005)",Action|Sci-Fi|Thriller
57528,Rambo (Rambo 4) (2008),Action|Drama|Thriller|War
57147,Cassandra's Dream (2007),Crime|Drama|Thriller
109569,3 Days to Kill (2014),Action|Crime|Drama
31420,Assault on Precinct 13 (2005),Action|Crime|Drama|Thriller
79796,Centurion (2010),Action|Adventure|Drama|Thriller|War
59016,Street Kings (2008),Crime|Drama|Thriller
130578,"Gunman, The (2015)",Action|Thriller
124859,The Gambler (2014),Crime|Drama|Thriller
34520,"Dukes of Hazzard, The (2005)",Action|Adventure|Comedy
27674,11:14 (2003),Comedy|Crime|Drama|Mystery|Thriller
44840,"Benchwarmers, The (2006)",Comedy
43936,16 Blocks (2006),Crime|Thriller
94405,Safe (2012),Action|Crime|Thriller
55272,We Own the Night (2007),Crime|Drama
8363,Soul Plane (2004),Comedy
4901,Spy Game (2001),Action|Crime|Drama|Thriller
101864,Oblivion (2013),Action|Adventure|Sci-Fi|IMAX
7143,"Last Samurai, The (2003)",Action|Adventure|Drama|War
103539,The Spectacular Now (2013),Comedy|Drama|Romance
105835,"Double, The (2013)",Comedy|Drama|Thriller
65126,Choke (2008),Comedy|Drama
93563,Lockout (2012),Action|Sci-Fi|Thriller
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
5630,Red Dragon (2002),Crime|Mystery|Thriller
48982,Flushed Away (2006),Animation|Comedy
